qps_od_per_second,n_poi,batch_cap,max_actual_matrix_batch,variant,latency_model,repeats,baseline_mean_s,baseline_min_s,baseline_max_s,matrix_mean_s,matrix_min_s,matrix_max_s,saved_s,reduction_percent,speedup,baseline_http,matrix_http,http_reduction_percent,logical_od,baseline_od_attempts,matrix_od_attempts,baseline_provider_calls,matrix_provider_calls,baseline_gate_wait_s,matrix_gate_wait_s,baseline_retry,matrix_retry_http,matrix_retry_od,baseline_failure,matrix_failure_http,baseline_numeric_success,matrix_numeric_success,baseline_numeric_unknown,matrix_numeric_unknown,baseline_business_unknown,matrix_business_unknown,baseline_p50_http_s,matrix_p50_http_s,baseline_p95_http_s,matrix_p95_http_s,baseline_mean_http_s,matrix_mean_http_s,full_evidence_agreement_percent,max_distance_error_m_mock,max_duration_error_s_mock,baseline_release_estimate_s,matrix_release_measured_s,max_observed_rolling_od,actual_http_concurrency,real_network_requests
3,10,3,3,matrix,parallel,3,3.549371000000974,3.5338529000000563,3.5743230000080075,3.2432607666608724,3.2330526000005193,3.2500710999884177,0.3061102333401018,8.624351563700097,1.094383478654188,10,4,60.0,10,10,10,10,4,3.073035866691498,3.0271664666555202,0,0,0,0,0,10,10,0,0,3,10,0.046099666666123085,0.060171616666290596,0.06224870167400998,0.06171043333548975,0.046997033336083405,0.05337454166874522,0,0,0,3.8827043333343076,3.57657786666338,3,1,0
3,25,3,3,matrix,parallel,3,9.375030333341178,9.35977210002602,9.382682299998123,8.59369599998657,8.593182299984619,8.594652699975995,0.7813343333546072,8.33420592332256,1.0909194755499645,25,9,64.0,25,25,25,25,9,8.197038033317464,8.065646600007312,0,0,0,0,0,25,25,0,0,6,25,0.04613469999943239,0.0615072666745012,0.062431753341419004,0.062288393332467724,0.04651608133378128,0.05792188888989148,0,0,0,9.708363666674511,8.92701366666006,3,1,0
3,50,3,3,matrix,parallel,3,19.058971166668925,19.0481706999999,19.066674200003035,17.180134933335165,17.146069400012493,17.19959010000457,1.878836233333761,9.858014983618544,1.1093609707155556,50,17,66.0,50,50,50,50,17,16.714002799999435,16.140436166654883,0,0,0,0,0,50,50,0,0,13,50,0.04627821666751212,0.06163616665677788,0.06251447166238601,0.062617093322721,0.046286103333889814,0.06038391568319068,0,0,0,19.392304500002258,17.846779166672302,3,1,0
3,100,3,3,matrix,parallel,3,38.49283833333175,38.46197139998549,38.514030999998795,35.397012066668445,35.39592119998997,35.398526100005256,3.095826266663302,8.042603249609062,1.0874601014580687,100,34,66.0,100,100,100,100,34,33.75992919993587,33.30925906658134,0,0,0,0,0,100,100,0,0,25,100,0.046440000000681415,0.06167533333064057,0.06275066166417673,0.06303704666594664,0.04670519633364165,0.0606161411766045,0,0,0,38.82617166666508,35.73032719999901,3,1,0
50,10,5,5,matrix,parallel,3,0.7282747333326066,0.7275668999936897,0.7296122999978252,0.23443063333979808,0.23331169999437407,0.23594760001287796,0.49384409999280854,67.8101377666864,3.106568126175732,10,2,80.0,10,10,10,10,2,0.27483329999571043,0.10757503333540323,0,0,0,0,0,10,10,0,0,3,10,0.04650623334843355,0.06265548332885373,0.06180391166223368,0.06372313832544023,0.04472435000255549,0.06265548332885373,0,0,0,0.7482747333326066,0.3344190333446022,10,1,0
50,10,10,10,matrix,parallel,3,0.7282747333326066,0.7275668999936897,0.7296122999978252,0.058642000008452065,0.05095340000116266,0.0631269000004977,0.6696327333241545,91.94781895836141,12.418995484936401,10,1,90.0,10,10,10,10,1,0.27483329999571043,3.426665595422188e-05,0,0,0,0,0,10,10,0,0,3,10,0.04650623334843355,0.05789383332012221,0.06180391166223368,0.05789383332012221,0.04472435000255549,0.05789383332012221,0,0,0,0.7482747333326066,0.25862743335892446,10,1,0
50,10,20,10,matrix,parallel,3,0.7282747333326066,0.7275668999936897,0.7296122999978252,0.06337003334192559,0.0627673999988474,0.06439370001317002,0.664904699990681,91.29860882967304,11.492415183104855,10,1,90.0,10,10,10,10,1,0.27483329999571043,3.749999450519681e-05,0,0,0,0,0,10,10,0,0,3,10,0.04650623334843355,0.06258423333444323,0.06180391166223368,0.06258423333444323,0.04472435000255549,0.06258423333444323,0,0,0,0.7482747333326066,0.26335193335156265,10,1,0
50,10,50,10,matrix,parallel,3,0.7282747333326066,0.7275668999936897,0.7296122999978252,0.06392239999452916,0.06318279998959042,0.06459409999661148,0.6643523333380774,91.22276291228471,11.39310685135315,10,1,90.0,10,10,10,10,1,0.27483329999571043,4.2566651245579123e-05,0,0,0,0,0,10,10,0,0,3,10,0.04650623334843355,0.06295786668003227,0.06180391166223368,0.06295786668003227,0.04472435000255549,0.06295786668003227,0,0,0,0.7482747333326066,0.26390703333890997,10,1,0
50,25,5,5,matrix,parallel,3,1.9006316333349484,1.8919424999912735,1.9095214999979362,0.7419215333356988,0.7402272999752313,0.7452316000126302,1.1587100999992497,60.96447516061363,2.561769065779313,25,5,80.0,25,25,25,25,5,0.7335968666399518,0.4303379666719896,0,0,0,0,0,25,25,0,0,6,25,0.046446866675978526,0.061887800004721306,0.06257471333180244,0.06249706000283671,0.04607076133135706,0.061567953335664546,0,0,0,1.9206316333349485,0.8419029000021206,25,1,0
50,25,10,10,matrix,parallel,3,1.9006316333349484,1.8919424999912735,1.9095214999979362,0.5897692666621879,0.5854958000127226,0.593186699989019,1.3108623666727606,68.96982790782306,3.2226698486538896,25,3,88.0,25,25,25,25,3,0.7335968666399518,0.40418343334264745,0,0,0,0,0,25,25,0,0,6,25,0.046446866675978526,0.06149969999872459,0.06257471333180244,0.0624780600007701,0.04607076133135706,0.06100518889272482,0,0,0,1.9206316333349485,0.6897451000016493,25,1,0
